instant,date_day,season,year,month,holiday,weekday,workingday,weathersit,temp_day,atemp,humidity_day,windspeed_day,casual_day,registered_day,total_rentals_day,casual_ratio,registered_ratio,total_rentals_agg,casual_agg,registered_agg,temp_agg,humidity_agg,windspeed_agg,hour
1,2011-01-01,spring,2011,January,No Holiday,Saturday,Non-Working Day,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0.33604060913705586,0.6639593908629442,985,331,654,0.3441666666666667,0.8058333333333333,0.16044583333333332,0
2,2011-01-02,spring,2011,January,No Holiday,Sunday,Non-Working Day,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0.16354556803995007,0.83645443196005,801,131,670,0.3634782608695652,0.696086956521739,0.24853913043478262,0
3,2011-01-03,spring,2011,January,No Holiday,Monday,Working Day,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0.08895478131949593,0.911045218680504,1349,120,1229,0.19636363636363638,0.43727272727272726,0.2483090909090909,0
4,2011-01-04,spring,2011,January,No Holiday,Tuesday,Working Day,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0.06914212548015365,0.9308578745198464,1562,108,1454,0.19999999999999998,0.5904347826086956,0.16029565217391303,0
5,2011-01-05,spring,2011,January,No Holiday,Wednesday,Working Day,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0.05125,0.94875,1600,82,1518,0.22695652173913042,0.43695652173913047,0.1869,0
6,2011-01-06,spring,2011,January,No Holiday,Thursday,Working Day,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0.0547945205479452,0.9452054794520548,1606,88,1518,0.20434782608695654,0.5182608695652174,0.08956521739130435,0
7,2011-01-07,spring,2011,January,No Holiday,Friday,Working Day,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0.09801324503311258,0.9019867549668874,1510,148,1362,0.1965217391304348,0.498695652173913,0.16872608695652175,0
8,2011-01-08,spring,2011,January,No Holiday,Saturday,Non-Working Day,2,0.165,0.162254,0.535833,0.266804,68,891,959,0.07090719499478623,0.9290928050052137,959,68,891,0.165,0.5358333333333333,0.2668041666666667,0
9,2011-01-09,spring,2011,January,No Holiday,Sunday,Non-Working Day,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0.06569343065693431,0.9343065693430657,822,54,768,0.13833333333333334,0.43416666666666665,0.36195,0
10,2011-01-10,spring,2011,January,No Holiday,Monday,Working Day,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0.031037093111279335,0.9689629068887207,1321,41,1280,0.15083333333333335,0.48291666666666666,0.2232666666666667,0
11,2011-01-11,spring,2011,January,No Holiday,Tuesday,Working Day,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0.034045922406967535,0.9659540775930324,1263,43,1220,0.1690909090909091,0.6863636363636364,0.12213181818181819,0
12,2011-01-12,spring,2011,January,No Holiday,Wednesday,Working Day,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.021514629948364887,0.9784853700516352,1162,25,1137,0.17272727272727273,0.5995454545454545,0.30462727272727275,0
13,2011-01-13,spring,2011,January,No Holiday,Thursday,Working Day,1,0.165,0.150883,0.470417,0.301,38,1368,1406,0.02702702702702703,0.972972972972973,1406,38,1368,0.165,0.47041666666666665,0.301,0
14,2011-01-14,spring,2011,January,No Holiday,Friday,Working Day,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.038001407459535536,0.9619985925404645,1421,54,1367,0.16086956521739132,0.5378260869565217,0.12654782608695653,0
15,2011-01-15,spring,2011,January,No Holiday,Saturday,Non-Working Day,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0.1778846153846154,0.8221153846153846,1248,222,1026,0.2333333333333333,0.49875,0.1579625,0
16,2011-01-16,spring,2011,January,No Holiday,Sunday,Non-Working Day,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.2084717607973422,0.7915282392026578,1204,251,953,0.2316666666666667,0.48374999999999996,0.18843333333333334,0
17,2011-01-17,spring,2011,January,Holiday,Monday,Non-Working Day,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.117,0.883,1000,117,883,0.1758333333333333,0.5375,0.19401666666666664,0
18,2011-01-18,spring,2011,January,No Holiday,Tuesday,Working Day,2,0.216667,0.232333,0.861667,0.146775,9,674,683,0.013177159590043924,0.986822840409956,683,9,674,0.21666666666666667,0.8616666666666667,0.14677500000000002,0
19,2011-01-19,spring,2011,January,No Holiday,Wednesday,Working Day,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0.04727272727272727,0.9527272727272728,1650,78,1572,0.29217391304347823,0.7417391304347826,0.20831739130434782,0
20,2011-01-20,spring,2011,January,No Holiday,Thursday,Working Day,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0.043072132848988066,0.956927867151012,1927,83,1844,0.26166666666666666,0.5383333333333333,0.19590416666666666,0
21,2011-01-21,spring,2011,January,No Holiday,Friday,Working Day,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.04860661049902787,0.9513933895009722,1543,75,1468,0.1775,0.45708333333333334,0.3532416666666667,0
22,2011-01-22,spring,2011,January,No Holiday,Saturday,Non-Working Day,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,0.09480122324159021,0.9051987767584098,981,93,888,0.0591304347826087,0.39999999999999997,0.1719695652173913,0
23,2011-01-23,spring,2011,January,No Holiday,Sunday,Non-Working Day,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0.15212981744421908,0.847870182555781,986,150,836,0.0965217391304348,0.43652173913043474,0.2466,0
24,2011-01-24,spring,2011,January,No Holiday,Monday,Working Day,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0.06073446327683616,0.9392655367231638,1416,86,1330,0.0973913043478261,0.4917391304347826,0.1583304347826087,0
25,2011-01-25,spring,2011,January,No Holiday,Tuesday,Working Day,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0.09370277078085643,0.9062972292191436,1985,186,1799,0.2234782608695652,0.6169565217391304,0.12979565217391303,0
26,2011-01-26,spring,2011,January,No Holiday,Wednesday,Working Day,3,0.2175,0.2036,0.8625,0.29385,34,472,506,0.06719367588932806,0.932806324110672,506,34,472,0.2175,0.8625,0.29385,0
27,2011-01-27,spring,2011,January,No Holiday,Thursday,Working Day,1,0.195,0.2197,0.6875,0.113837,15,416,431,0.03480278422273782,0.9651972157772621,431,15,416,0.195,0.6875,0.11383750000000001,0
